Litter,ExpGroup
A,IH
B,IH
C,RA
D,RA
E,L1
F,L1
G,L1
H,L1
I,L1
J,L1
K,L1
L,L1
M,IH
N,RA
O,RA
P,10% IH
Q,11% IH
R,10% IH
S,RA
T,11% IH
U,11% IH
V,RA
W,11% IH
X,RA
Y,RA
Z,11% IH
AA,RA
BB,11% IH
CC,RA
DD,11% IH
EE,11% IH
FF,RA
GG,RA
HH,RA
II,11% IH
