ImageNumber,Image_Metadata_Frame,Image_Metadata_Litter,Image_Metadata_Mouse,Image_Metadata_Region,Image_Metadata_Section,Image_Metadata_Series,Image_Metadata_Slide,Image_Count_Cells,Image_Count_Cells_with_nuclei
601,0,Y,Y5,MR,1,0,2_3,51,45
602,0,Y,Y5,R4,1,0,2_3,64,64
603,0,Y,Y5,MR,2,0,2_3,57,52
604,0,Y,Y5,R4,2,0,2_3,20,20
605,0,Y,Y5,MR,3,0,2_3,105,103
606,0,Y,Y6,ROb,1,0,1_1,38,37
607,0,Y,Y6,ROb,2,0,1_1,41,37
608,0,Y,Y6,ROb,3,0,1_1,29,28
609,0,Y,Y6,ROb,4,0,1_1,30,27
610,0,Y,Y6,LPGI,5,0,1_1,28,26
611,0,Y,Y6,RPa,5,0,1_1,49,47
612,0,Y,Y6,LPGI,6,0,1_1,25,25
613,0,Y,Y6,RPa,6,0,1_1,40,39
614,0,Y,Y6,LPGI,7,0,1_1,29,27
615,0,Y,Y6,RPa,7,0,1_1,31,29
616,0,Y,Y6,LPGI,8,0,1_1,34,34
617,0,Y,Y6,RPa,8,0,1_1,57,52
618,0,Y,Y6,RMn,2,0,4_2,57,54
619,0,Y,Y6,RMn,3,0,4_2,34,33
620,0,Y,Y6,R4,5,0,4_2,46,45
621,0,Y,Y6,MR,6,0,4_2,44,44
622,0,Y,Y6,R4,6,0,4_2,37,36
623,0,Y,Y6,MR,7,0,4_2,100,99
624,0,Y,Y6,R4,7,0,4_2,7,7
625,0,Y,Y6,RMn,1,0,6_2,72,69
626,0,Y,Y6,RMn,3,0,6_2,35,33
627,0,Y,Y6,R4,5,0,6_2,50,50
628,0,Y,Y6,MR,6,0,6_2,72,70
629,0,Y,Y6,R4,6,0,6_2,14,13
630,0,Y,Y6,MR,7,0,6_2,123,117
631,0,Y,Y7,ROb,2,0,1_1,26,21
632,0,Y,Y7,ROb,3,0,1_1,56,55
633,0,Y,Y7,LPGI,4,0,1_1,32,27
634,0,Y,Y7,ROb,4,0,1_1,34,33
635,0,Y,Y7,LPGI,5,0,1_1,33,29
636,0,Y,Y7,RPa,5,0,1_1,60,57
637,0,Y,Y7,LPGI,6,0,1_1,20,18
638,0,Y,Y7,RPa,6,0,1_1,41,41
639,0,Y,Y7,RMn,7,0,1_1,85,84
640,0,Y,Y7,RMn,8,0,2_1,50,47
641,0,Y,Y7,R4,1,0,2_2,12,11
642,0,Y,Y7,ROb,2,0,4_1,48,44
643,0,Y,Y7,ROb,3,0,4_1,32,29
644,0,Y,Y7,LPGI,5,0,4_1,29,25
645,0,Y,Y7,RPa,5,0,4_1,43,38
646,0,Y,Y7,RPa,6,0,4_1,43,38
647,0,Y,Y7,LPGI,7,0,4_1,46,44
