"","ExpGroup","Image_Metadata_Mouse","Image_Metadata_Region","Image_Count_Cells_mean","Image_Count_Cells_sd","Image_Count_Cells_sum","Image_Count_Cells_with_nuclei_mean","Image_Count_Cells_with_nuclei_sd","Image_Count_Cells_with_nuclei_sum","n_image","avg_cells_per_image","avg_cells_with_nuclei_per_image"
"1","11% IH","Q1","LPGI",26.6666666666667,8.08290376865476,80,24.6666666666667,6.42910050732864,74,3,26.6666666666667,24.6666666666667
"2","11% IH","Q1","MR",117,26.0895892391327,468,110.75,21.1404036542982,443,4,117,110.75
"3","11% IH","Q1","R4",22.75,15.305227865014,91,21.75,13.9373598647664,87,4,22.75,21.75
"4","11% IH","Q1","RMn",52.6666666666667,26.6520793435209,158,50.6666666666667,26.5015722804013,152,3,52.6666666666667,50.6666666666667
"5","11% IH","Q1","ROb",25.5,10.6066017177982,51,23.5,9.19238815542512,47,2,25.5,23.5
"6","11% IH","Q1","RPa",63.3333333333333,18.5022521151706,190,59.3333333333333,16.7729941672122,178,3,63.3333333333333,59.3333333333333
"7","11% IH","Q3","LPGI",27.6666666666667,3.51188458428425,83,26,3.60555127546399,78,3,27.6666666666667,26
"8","11% IH","Q3","MR",70.75,24.4727739879783,283,68.25,23.3148736503832,273,4,70.75,68.25
"9","11% IH","Q3","R4",20.25,12.5,81,19.5,12.1792172709634,78,4,20.25,19.5
"10","11% IH","Q3","RMn",46.5,7.93725393319377,186,44.25,7.8049129826454,177,4,46.5,44.25
"11","11% IH","Q3","ROb",45,NA,45,43,NA,43,1,45,43
"12","11% IH","Q3","RPa",64.6666666666667,20.4042479237372,194,61.3333333333333,22.8983259941275,184,3,64.6666666666667,61.3333333333333
"13","11% IH","Q7","LPGI",29.25,3.20156211871642,117,27.75,2.21735578260835,111,4,29.25,27.75
"14","11% IH","Q7","MR",81,20.704266871026,324,77.75,19.3627649540727,311,4,81,77.75
"15","11% IH","Q7","R4",27.5,18.8414436814168,110,27.25,19.1898410623955,109,4,27.5,27.25
"16","11% IH","Q7","RMn",58.75,14.9527032115713,235,56,13.3416640641263,224,4,58.75,56
"17","11% IH","Q7","ROb",30.3333333333333,8.32666399786453,91,29,8.88819441731559,87,3,30.3333333333333,29
"18","11% IH","Q7","RPa",45.75,5.56027577253743,183,42.5,4.50924975282289,170,4,45.75,42.5
"19","11% IH","T5","LPGI",30,5.35412613473634,120,28.25,5.5,113,4,30,28.25
"20","11% IH","T5","MR",65.75,16.3986788085707,263,62,16.3299316185545,248,4,65.75,62
"21","11% IH","T5","R4",18.5,15.8008438593218,74,18.25,15.4137384606504,73,4,18.5,18.25
"22","11% IH","T5","RMn",44.5,7.37111479583199,178,43.5,6.95221787153807,174,4,44.5,43.5
"23","11% IH","T5","ROb",31.25,6.39661368746516,125,30.25,5.90903263374528,121,4,31.25,30.25
"24","11% IH","T5","RPa",46.25,4.78713553878169,185,44.5,4.79583152331272,178,4,46.25,44.5
"25","11% IH","T7","LPGI",27.5,3.1091263510296,110,26.5,3.3166247903554,106,4,27.5,26.5
"26","11% IH","T7","MR",86.25,31.4046174948844,345,82.25,33.8267645511657,329,4,86.25,82.25
"27","11% IH","T7","R4",35,12.8322510366134,140,33.5,11.7331439378654,134,4,35,33.5
"28","11% IH","T7","RMn",49.25,17.3084757657436,197,48.5,16.0104132780304,194,4,49.25,48.5
"29","11% IH","T7","ROb",34.3333333333333,7.37111479583199,103,33,6.2449979983984,99,3,34.3333333333333,33
"30","11% IH","T7","RPa",51.5,5.8022983951764,206,49.75,5.18812747209113,199,4,51.5,49.75
"31","11% IH","T8","LPGI",24.25,5.56027577253743,97,23,5.65685424949238,92,4,24.25,23
"32","11% IH","T8","MR",65,22.2710574513201,325,59.8,21.0285520186246,299,5,65,59.8
"33","11% IH","T8","R4",28.4,21.1612854051922,142,27,20.4694894904587,135,5,28.4,27
"34","11% IH","T8","RMn",54,19.6638416050035,216,52.25,19.9895806192459,209,4,54,52.25
"35","11% IH","T8","ROb",38.75,4.03112887414927,155,35.75,5.56027577253743,143,4,38.75,35.75
"36","11% IH","T8","RPa",56.6,11.238327277669,283,54,10.5118980208143,270,5,56.6,54
"37","11% IH","U1","LPGI",29.5,3.3166247903554,118,27.5,3.69684550213647,110,4,29.5,27.5
"38","11% IH","U1","MR",50.75,8.53912563829967,203,47.75,6.55108133567785,191,4,50.75,47.75
"39","11% IH","U1","R4",27.8,17.7679486716953,139,26.8,16.6493243106139,134,5,27.8,26.8
"40","11% IH","U1","RMn",41.75,8.77021474461525,167,39.75,9.42956343987709,159,4,41.75,39.75
"41","11% IH","U1","ROb",39.5,9.18331820930394,158,37.25,8.26135582092915,149,4,39.5,37.25
"42","11% IH","U1","RPa",64.3333333333333,14.4683562761405,193,62.6666666666667,15.0443787951957,188,3,64.3333333333333,62.6666666666667
"43","11% IH","U10","LPGI",29.5,6.1913918736689,118,27.25,6.18465843842649,109,4,29.5,27.25
"44","11% IH","U10","MR",70.25,38.0909000506245,281,65.25,36.7185239354743,261,4,70.25,65.25
"45","11% IH","U10","R4",20,12.7279220613579,40,19,12.7279220613579,38,2,20,19
"46","11% IH","U10","RMn",37,14.8996644257513,148,35.5,14.4337567297406,142,4,37,35.5
"47","11% IH","U10","ROb",38.25,12.6852933220587,153,35.75,11.056672193748,143,4,38.25,35.75
"48","11% IH","U10","RPa",57,6.05530070819498,228,54.25,5.43905629069357,217,4,57,54.25
"49","11% IH","U4","LPGI",31.5,11.9023807142381,126,29.5,11.3871272350258,118,4,31.5,29.5
"50","11% IH","U4","MR",75.25,27.4878761153592,301,73.25,27.7773888861666,293,4,75.25,73.25
"51","11% IH","U4","R4",14.8,11.1220501707194,74,14.6,11.1937482551646,73,5,14.8,14.6
"52","11% IH","U4","RMn",42.25,10.8742815854658,169,41.5,9.8488578017961,166,4,42.25,41.5
"53","11% IH","U4","ROb",50.5,17.4068951855292,202,46.5,17.5214154679352,186,4,50.5,46.5
"54","11% IH","U4","RPa",61,12,183,58.3333333333333,9.29157324317757,175,3,61,58.3333333333333
"55","11% IH","U6","LPGI",25.5,8.06225774829855,102,23.25,8.77021474461525,93,4,25.5,23.25
"56","11% IH","U6","MR",79,43.9317652729776,316,77.5,42.9068759058499,310,4,79,77.5
"57","11% IH","U6","R4",39.75,20.5162537191044,159,38.5,19.3304595565306,154,4,39.75,38.5
"58","11% IH","U6","RMn",66.5,14.8884742894182,266,63.25,12.737739202857,253,4,66.5,63.25
"59","11% IH","U6","ROb",37.25,2.06155281280883,149,36.25,2.5,145,4,37.25,36.25
"60","11% IH","U6","RPa",52.25,9.21502396451939,209,50.75,8.88350531415762,203,4,52.25,50.75
"61","11% IH","W2","LPGI",31.5,5.19615242270663,126,29.5,3.78593889720018,118,4,31.5,29.5
"62","11% IH","W2","MR",55.5,16.9803808359334,222,53.5,16.1761140780679,214,4,55.5,53.5
"63","11% IH","W2","R4",27.5,15.8008438593218,110,26.25,15.4137384606504,105,4,27.5,26.25
"64","11% IH","W2","RMn",59.25,20.8865985742054,237,57.25,20.0727842280703,229,4,59.25,57.25
"65","11% IH","W2","ROb",49.5,8.06225774829855,198,47.25,8.53912563829967,189,4,49.5,47.25
"66","11% IH","W2","RPa",51.6666666666667,12.0554275466834,155,48,9.8488578017961,144,3,51.6666666666667,48
"67","11% IH","W4","LPGI",28.75,5.7373048260195,115,25.75,3.40342964277702,103,4,28.75,25.75
"68","11% IH","W4","MR",36.5,9.46924847422786,146,35.5,9.60902353693305,142,4,36.5,35.5
"69","11% IH","W4","R4",38,4.96655480858378,152,36.5,3.69684550213647,146,4,38,36.5
"70","11% IH","W4","RMn",52.5,22.8254244210267,210,50.25,21.868927728629,201,4,52.5,50.25
"71","11% IH","W4","ROb",34,12.8322510366134,136,31.5,11.3871272350258,126,4,34,31.5
"72","11% IH","W4","RPa",55.5,7.32575365861197,222,51.25,7.76208734813001,205,4,55.5,51.25
"73","11% IH","W5","LPGI",30.75,5.18812747209113,123,29,4.69041575982343,116,4,30.75,29
"74","11% IH","W5","MR",76.25,27.6812210713328,305,73.75,26.6505159424729,295,4,76.25,73.75
"75","11% IH","W5","R4",25.6,17.0088212407562,128,24.2,15.9906222518075,121,5,25.6,24.2
"76","11% IH","W5","RMn",42.25,5.18812747209113,169,40,7.11805216802087,160,4,42.25,40
"77","11% IH","W5","ROb",28.3333333333333,7.37111479583199,85,27.6666666666667,7.76745346515403,83,3,28.3333333333333,27.6666666666667
"78","11% IH","W5","RPa",58.5,13.7961347243833,234,54.75,14.1745076340121,219,4,58.5,54.75
"79","11% IH","W9","LPGI",25.75,7.54431353183752,103,24,8.12403840463596,96,4,25.75,24
"80","11% IH","W9","MR",84,32.7108544675922,336,79.25,28.6981416355368,317,4,84,79.25
"81","11% IH","W9","R4",30.5,19.226717521893,122,29.5,18.6993761036743,118,4,30.5,29.5
"82","11% IH","W9","RMn",53.5,3.69684550213647,214,51,4.08248290463863,204,4,53.5,51
"83","11% IH","W9","ROb",34.5,9.46924847422786,138,32.5,9.25562891794321,130,4,34.5,32.5
"84","11% IH","W9","RPa",61.75,13.7446959466795,247,60.25,14.5916642870739,241,4,61.75,60.25
"85","RA","S4","LPGI",31.25,7.63216876123687,125,29,6.97614984548545,116,4,31.25,29
"86","RA","S4","MR",53.5,12.2882057274445,214,51.75,11.5,207,4,53.5,51.75
"87","RA","S4","R4",22.5,15.8640053790544,90,21.25,14.0564338768172,85,4,22.5,21.25
"88","RA","S4","RMn",39,8.12403840463596,156,34.75,7.27438428093173,139,4,39,34.75
"89","RA","S4","ROb",31.5,7.04745817062199,126,29.5,6.35085296108588,118,4,31.5,29.5
"90","RA","S4","RPa",57.25,16.0286202358989,229,55.75,15.0416089564913,223,4,57.25,55.75
"91","RA","S5","LPGI",28.5,7.18795288428261,114,25,7.87400787401181,100,4,28.5,25
"92","RA","S5","MR",40.6666666666667,5.77350269189626,122,38.6666666666667,5.85946527708232,116,3,40.6666666666667,38.6666666666667
"93","RA","S5","R4",34.75,13.3010024684858,139,34,12.675435561221,136,4,34.75,34
"94","RA","S5","RMn",63,25.3113940087595,252,60.5,25.5929677841395,242,4,63,60.5
"95","RA","S5","ROb",35.8,17.2973986483517,179,33.2,15.7066864742377,166,5,35.8,33.2
"96","RA","S5","RPa",62.25,11.4418821295566,249,59,11.2249721603218,236,4,62.25,59
"97","RA","S6","MR",75,33.1762967593833,300,72.25,32.4794807019242,289,4,75,72.25
"98","RA","S6","R4",19.5,17.5973482850873,78,19.5,17.5973482850873,78,4,19.5,19.5
"99","RA","S6","RMn",53,19.2743352673964,265,52.2,18.7269858760026,261,5,53,52.2
"100","RA","S7","LPGI",24,8.04155872120988,96,24,8.04155872120988,96,4,24,24
"101","RA","S7","MR",67.25,23.0126776654377,269,64,21.556128285633,256,4,67.25,64
"102","RA","S7","R4",17.6,14.3282936876657,88,16.8,14.1315250415516,84,5,17.6,16.8
"103","RA","S7","RMn",36.75,6.39661368746516,147,35.5,5.74456264653803,142,4,36.75,35.5
"104","RA","S7","ROb",40.5,15.0222057856583,162,39,15.121728296285,156,4,40.5,39
"105","RA","S7","RPa",68.3333333333333,4.93288286231625,205,66.3333333333333,5.13160143944688,199,3,68.3333333333333,66.3333333333333
"106","RA","V4","LPGI",32.75,5.90903263374528,131,31,6.37704215656966,124,4,32.75,31
"107","RA","V4","MR",54.75,13.2507861402006,219,50.5,12.369316876853,202,4,54.75,50.5
"108","RA","V4","R4",17.25,12.6852933220587,69,16.75,12.2848144742469,67,4,17.25,16.75
"109","RA","V4","RMn",48.5,24.6644143115812,194,47.5,22.6936114358204,190,4,48.5,47.5
"110","RA","V4","ROb",58.75,13.4505266315735,235,57,14.3061758225833,228,4,58.75,57
