"","ExpGroup","Image_Metadata_Mouse","Image_Metadata_Region","Image_Count_Cells_mean","Image_Count_Cells_sd","Image_Count_Cells_sum","Image_Count_Cells_with_nuclei_mean","Image_Count_Cells_with_nuclei_sd","Image_Count_Cells_with_nuclei_sum","n_image","avg_cells_per_image","avg_cells_with_nuclei_per_image"
"111","RA","V4","RPa",55.5,22.1735578260835,222,54,20.9920619917784,216,4,55.5,54
"112","RA","V5","LPGI",26,5.22812904711937,104,24,4.96655480858378,96,4,26,24
"113","RA","V5","MR",55.5,15.9687194226713,222,53.25,16.1529151135845,213,4,55.5,53.25
"114","RA","V5","R4",26.25,15.9661099415815,105,25,15.6843871413581,100,4,26.25,25
"115","RA","V5","RMn",49.25,7.63216876123687,197,48,7.16472842006823,192,4,49.25,48
"116","RA","V5","ROb",38.75,17.9327447239215,155,37.5,16.1141759536958,150,4,38.75,37.5
"117","RA","V5","RPa",43.3333333333333,9.29157324317757,130,42,7.93725393319377,126,3,43.3333333333333,42
"118","RA","V6","LPGI",28.5,6.65832811847939,114,26.75,6.80073525436772,107,4,28.5,26.75
"119","RA","V6","MR",70.75,39.7439722893086,283,69,37.841775856849,276,4,70.75,69
"120","RA","V6","R4",28,20.4572725454788,140,27.4,19.9574547475373,137,5,28,27.4
"121","RA","V6","RMn",49.75,10.2428837085396,199,46.75,11.5866302262565,187,4,49.75,46.75
"122","RA","V6","ROb",42.25,6.9940450861191,169,40.75,6.9940450861191,163,4,42.25,40.75
"123","RA","V6","RPa",59.75,10.5633012516605,239,57.75,9.84462628374824,231,4,59.75,57.75
"124","RA","X2","LPGI",27.75,4.57347424467075,111,25.5,3.69684550213647,102,4,27.75,25.5
"125","RA","X2","MR",59.6666666666667,20.7444771766688,179,56.6666666666667,20.5507501890645,170,3,59.6666666666667,56.6666666666667
"126","RA","X2","R4",30.75,16.6808273176123,123,29.25,15.4569294061488,117,4,30.75,29.25
"127","RA","X2","RMn",60.5,20.0083315979452,242,59.25,18.7149672722129,237,4,60.5,59.25
"128","RA","X2","ROb",30.25,11.7862914721581,121,28.75,10.5,115,4,30.25,28.75
"129","RA","X2","RPa",45.75,5.37742193496723,183,44.25,4.11298755975102,177,4,45.75,44.25
"130","RA","X3","LPGI",33.25,8.65544144839919,133,32,9.30949336251263,128,4,33.25,32
"131","RA","X3","MR",61,14,366,58.1666666666667,14.6889981505434,349,6,61,58.1666666666667
"132","RA","X3","R4",21.75,12.6062153982338,87,20.25,13.0479883506999,81,4,21.75,20.25
"133","RA","X3","RMn",56.5,8.58292879305582,226,53,8.28653526310404,212,4,56.5,53
"134","RA","X3","ROb",44.5,7.41619848709566,178,42.25,8.30160627027485,169,4,44.5,42.25
"135","RA","X3","RPa",57,5.47722557505166,228,55.75,4.78713553878169,223,4,57,55.75
"136","RA","X5","LPGI",33.4,10.7377837564369,167,31.2,10.4498803820905,156,5,33.4,31.2
"137","RA","X5","MR",50,22.3047080231955,250,48,20.5548047910945,240,5,50,48
"138","RA","X5","R4",37.75,15.4353490404331,151,36.75,14.7958327466441,147,4,37.75,36.75
"139","RA","X5","RMn",65.25,16.0701586799882,261,61.25,15.1739909054935,245,4,65.25,61.25
"140","RA","X5","ROb",39,9.64365076099295,117,36.3333333333333,11.1504857891185,109,3,39,36.3333333333333
"141","RA","X5","RPa",49.8,4.91934955049954,249,48.6,4.09878030638384,243,5,49.8,48.6
"142","RA","Y4","LPGI",27,5.65685424949238,135,25.2,6.05805249234438,126,5,27,25.2
"143","RA","Y4","MR",83.75,32.3251707909899,335,76.5,25.1462389500564,306,4,83.75,76.5
"144","RA","Y4","R4",43.25,20.5487225880345,173,40.75,19.9227675453654,163,4,43.25,40.75
"145","RA","Y4","RMn",53,13.5400640077266,212,51.25,12.4197423483742,205,4,53,51.25
"146","RA","Y4","ROb",34.25,10.0457287772798,137,31.75,8.53912563829967,127,4,34.25,31.75
"147","RA","Y4","RPa",54.5,7.93725393319377,218,52,7.95822425754221,208,4,54.5,52
"148","RA","Y5","LPGI",24.25,5.96517672272443,97,23,6.78232998312527,92,4,24.25,23
"149","RA","Y5","MR",71,29.5972971738975,213,66.6666666666667,31.6596483450675,200,3,71,66.6666666666667
"150","RA","Y5","R4",31.75,23.4716140618123,127,30.75,23.4858113194612,123,4,31.75,30.75
"151","RA","Y5","RMn",46.5,19.2786583212283,186,45,19.1833260932509,180,4,46.5,45
"152","RA","Y5","ROb",35.6,4.72228758124704,178,34.6,4.82700735445887,173,5,35.6,34.6
"153","RA","Y5","RPa",51,12.5698050899765,204,49,12.0277457017791,196,4,51,49
"154","RA","Y6","LPGI",29,3.74165738677394,116,28,4.08248290463863,112,4,29,28
"155","RA","Y6","MR",84.75,34.2478709800575,339,82.5,32.1506868770586,330,4,84.75,82.5
"156","RA","Y6","R4",30.8,19.2795228156716,154,30.2,19.2275843516548,151,5,30.8,30.2
"157","RA","Y6","RMn",49.5,18.375708603117,198,47.25,17.5570498660794,189,4,49.5,47.25
"158","RA","Y6","ROb",34.5,5.91607978309962,138,32.25,5.5,129,4,34.5,32.25
"159","RA","Y6","RPa",44.25,11.2361025271221,177,41.75,10.0457287772798,167,4,44.25,41.75
"160","RA","Y7","LPGI",32,9.35414346693485,160,28.6,9.555103348473,143,5,32,28.6
"161","RA","Y7","R4",12,NA,12,11,NA,11,1,12,11
"162","RA","Y7","RMn",67.5,24.7487373415292,135,65.5,26.1629509039023,131,2,67.5,65.5
"163","RA","Y7","ROb",39.2,12.3773987574126,196,36.4,13.2966161108757,182,5,39.2,36.4
"164","RA","Y7","RPa",46.75,8.88350531415762,187,43.5,9.1104335791443,174,4,46.75,43.5
