ImageNumber,BorderedCellsWithProcesses_Number_Object_Number,BorderedCellsWithProcesses_Location_Center_X,BorderedCellsWithProcesses_Location_Center_Y
1,1,797.694038245219,60.5275590551181
1,2,972.0413153457,113.483136593592
1,3,928.975945017182,168.348224513173
1,4,1592.49090909091,428.132467532468
1,5,575.53417721519,779.389873417722
1,6,1733.87958607714,767.70272812794
1,7,1690.0,797.676042677013
1,8,1726.27083333333,816.147916666667
1,9,1269.05986185725,827.598618572525
1,10,1200.5768772348,828.251489868892
1,11,1344.28262910798,831.5220657277
1,12,1711.03196622437,853.461399276236
1,13,303.20819112628,855.717861205916
1,14,1712.22760800843,1108.88830347734
1,15,1036.67055393586,1631.0306122449
1,16,1087.64359861592,1749.776816609
1,17,1075.16883116883,1869.9880952381
1,18,983.951773049645,1889.49645390071
5,1,1028.66535947712,12.8745098039216
5,2,1046.72030075188,81.3248120300752
5,3,1388.14155251142,88.689497716895
5,4,862.614008941878,872.4739195231
5,5,1417.75748502994,900.76497005988
5,6,733.311926605505,910.754914809961
5,7,763.505910165485,909.794326241135
5,8,1461.29191919192,916.905050505051
5,9,785.117750439367,916.462214411248
5,10,906.67053701016,916.322206095791
5,11,975.325123152709,917.646551724138
5,12,706.967441860465,927.924031007752
5,13,680.107078039927,924.686025408348
5,14,1010.3443877551,922.696428571429
5,15,585.57334611697,922.477468839885
5,16,1386.53056426332,931.89184952978
5,17,631.168595041322,929.743801652893
5,18,1344.97169811321,930.687106918239
5,19,1206.60765124555,938.576512455516
5,20,1300.88477366255,940.458847736626
5,21,1433.72976054732,938.671607753706
5,22,1258.94754098361,936.588524590164
5,23,1486.71271585557,943.110675039246
5,24,1128.55156431054,938.057937427578
5,25,456.848717948718,945.744871794872
5,26,1068.17021276596,938.937806873977
5,27,268.554716981132,946.524528301887
5,28,682.145207439199,965.670243204578
5,29,584.869625520111,957.056865464632
5,30,643.061298076923,966.667067307692
5,31,612.871244635193,967.83547925608
5,32,397.75572519084,981.49945474373
5,33,813.8848,973.6976
5,34,521.983576642336,969.282846715328
5,35,726.222222222222,982.744791666667
5,36,336.077433628319,983.319690265487
5,37,480.784916201117,990.428770949721
5,38,817.278911564626,986.914965986395
5,39,437.065819861432,1011.49653579677
5,40,762.141903171953,1048.15859766277
5,41,1173.96086956522,1903.73043478261
5,42,1211.18327605956,1926.02749140893
4,1,1372.05787037037,955.148148148148
4,2,1286.00753295669,1069.10922787194
4,3,1335.15425531915,1155.2890070922
4,4,1522.21497919556,1226.74618585298
4,5,1534.13684210526,1249.02105263158
4,6,1540.66312594841,1276.49013657056
4,7,1364.65223880597,1311.47910447761
4,8,1411.48175182482,1302.77128953771
4,9,1544.11222222222,1312.84666666667
4,10,1426.9763138416,1337.82087342709
4,11,1582.82914572864,1351.57412060301
4,12,1543.71975806452,1349.44758064516
4,13,1325.8250728863,1356.10204081633
4,14,1345.14880201765,1374.57881462799
4,15,1497.69555555556,1360.98444444444
4,16,1390.06259314456,1369.51862891207
4,17,1433.984375,1369.25
4,18,1441.76621787026,1393.44430844553
4,19,1461.80672268908,1415.24089635854
4,20,1018.15,1537.07244897959
4,21,1030.47399702823,1612.68945022288
4,22,1371.83861236802,1620.30920060332
2,1,676.86722306525,307.948406676783
2,2,944.738521400778,765.105058365759
2,3,1165.8432304038,937.560570071259
2,4,1597.06764705882,967.719117647059
2,5,1075.6355489171,994.784914115011
2,6,1542.33441558442,1014.60930735931
2,7,1156.31709558824,1048.02757352941
2,8,1539.07370737074,1048.98459845985
2,9,1500.18560860794,1108.37054472091
2,10,1483.8153961136,1158.31240657698
2,11,1446.34881825591,1207.11246943765
2,12,1231.20752089136,1255.55153203343
2,13,1390.68110918544,1283.80935875217
2,14,918.007326007326,1311.95238095238
2,15,1360.43403205919,1332.48088779285
2,16,1260.38033395176,1431.38589981447
2,17,1297.06219512195,1435.61219512195
2,18,1267.74939172749,1461.38686131387
2,19,1241.10891089109,1468.31188118812
