ImageNumber,BorderedCells_Number_Object_Number,BorderedCells_Location_Center_X,BorderedCells_Location_Center_Y,BorderedCells_ObjectSkeleton_NumberBranchEnds_MorphologicalSkltn,BorderedCells_ObjectSkeleton_NumberNonTrunkBranchs_MrphlgclSkltn,BorderedCells_ObjectSkeleton_NumberTrunks_MorphologicalSkeleton,BorderedCells_ObjectSkeleton_TotalObjectSkltnLngth_MrphlgclSkltn,BorderedCells_Parent_Cells
1,1,798.37631887456,60.147713950762,1,0,1,5.24264067411423,1
1,2,964.006451612903,119.721505376344,2,1,1,65.0121940970421,2
1,3,931.181818181818,166.687924016282,2,0,2,24.5563496947289,3
1,4,1592.55613577023,428.125326370757,0,0,0,0.0,4
1,5,575.53417721519,779.389873417722,0,0,0,0.0,5
1,6,1725.77066666667,784.650666666667,7,3,5,133.468038856983,6
1,7,1689.92176529589,797.256770310933,0,0,0,0.0,7
1,8,1726.1096196868,815.724832214765,0,0,0,0.0,8
1,9,1271.91396648045,826.150837988827,5,1,4,77.8700587153435,9
1,10,1197.7138769671,827.602288984263,2,0,3,20.3137088418007,10
1,11,1335.10945273632,830.828358208955,4,4,2,72.4264076948166,11
1,12,1711.34008097166,853.017543859649,3,0,7,22.8994951844215,12
1,13,302.884480746791,855.957992998833,1,0,1,1.41421353816986,13
1,14,1715.39012345679,1103.75061728395,2,0,2,22.656854569912,14
1,15,1036.67987804878,1630.29725609756,1,0,1,5.0,15
1,16,1083.13,1744.46666666667,5,3,2,132.053825736046,16
1,17,1074.06095979248,1868.71335927367,4,1,3,25.7279224395752,17
1,18,984.365853658537,1890.69054878049,1,0,1,8.0,18
5,1,1028.73455978975,12.9014454664915,0,0,0,0.0,1
5,2,1046.78636363636,81.1863636363636,0,0,0,0.0,2
5,3,1388.14155251142,88.689497716895,0,0,0,0.0,3
5,4,862.614008941878,872.4739195231,0,0,0,0.0,4
5,5,1414.42155009452,899.361058601134,5,1,4,30.7989902496338,5
5,6,733.105614973262,910.48128342246,0,0,1,0.0,6
5,7,763.529691211401,909.736342042755,0,0,0,2.82842707633972,7
5,8,1460.23110151188,916.958963282937,2,0,5,7.24264085292816,8
5,9,786.343396226415,915.718867924528,1,0,1,10.8994948863983,9
5,10,906.431610942249,916.299392097264,0,0,0,0.0,10
